date_utc,time_utc,event,weight,note
2020-01-03,13:30,NFP,red,computed_first_friday_exact
2020-01-12,13:30,CPI_APPROX,red,approx_verify_bls
2020-01-29,19:00,FOMC_decision,red,fed_schedule_exact
2020-02-07,13:30,NFP,red,computed_first_friday_exact
2020-02-12,13:30,CPI_APPROX,red,approx_verify_bls
2020-03-03,18:00,FOMC_emergency,red,fed_schedule_exact
2020-03-06,13:30,NFP,red,computed_first_friday_exact
2020-03-12,13:30,CPI_APPROX,red,approx_verify_bls
2020-03-15,18:00,FOMC_emergency,red,fed_schedule_exact
2020-04-03,12:30,NFP,red,computed_first_friday_exact
2020-04-12,12:30,CPI_APPROX,red,approx_verify_bls
2020-04-29,18:00,FOMC_decision,red,fed_schedule_exact
2020-05-01,12:30,NFP,red,computed_first_friday_exact
2020-05-12,12:30,CPI_APPROX,red,approx_verify_bls
2020-06-05,12:30,NFP,red,computed_first_friday_exact
2020-06-10,18:00,FOMC_decision,red,fed_schedule_exact
2020-06-12,12:30,CPI_APPROX,red,approx_verify_bls
2020-07-03,12:30,NFP,red,computed_first_friday_exact
2020-07-12,12:30,CPI_APPROX,red,approx_verify_bls
2020-07-29,18:00,FOMC_decision,red,fed_schedule_exact
2020-08-07,12:30,NFP,red,computed_first_friday_exact
2020-08-12,12:30,CPI_APPROX,red,approx_verify_bls
2020-09-04,12:30,NFP,red,computed_first_friday_exact
2020-09-12,12:30,CPI_APPROX,red,approx_verify_bls
2020-09-16,18:00,FOMC_decision,red,fed_schedule_exact
2020-10-02,12:30,NFP,red,computed_first_friday_exact
2020-10-12,12:30,CPI_APPROX,red,approx_verify_bls
2020-11-05,19:00,FOMC_decision,red,fed_schedule_exact
2020-11-06,13:30,NFP,red,computed_first_friday_exact
2020-11-12,13:30,CPI_APPROX,red,approx_verify_bls
2020-12-04,13:30,NFP,red,computed_first_friday_exact
2020-12-12,13:30,CPI_APPROX,red,approx_verify_bls
2020-12-16,19:00,FOMC_decision,red,fed_schedule_exact
2021-01-01,13:30,NFP,red,computed_first_friday_exact
2021-01-12,13:30,CPI_APPROX,red,approx_verify_bls
2021-01-27,19:00,FOMC_decision,red,fed_schedule_exact
2021-02-05,13:30,NFP,red,computed_first_friday_exact
2021-02-12,13:30,CPI_APPROX,red,approx_verify_bls
2021-03-05,13:30,NFP,red,computed_first_friday_exact
2021-03-12,13:30,CPI_APPROX,red,approx_verify_bls
2021-03-17,19:00,FOMC_decision,red,fed_schedule_exact
2021-04-02,12:30,NFP,red,computed_first_friday_exact
2021-04-12,12:30,CPI_APPROX,red,approx_verify_bls
2021-04-28,18:00,FOMC_decision,red,fed_schedule_exact
2021-05-07,12:30,NFP,red,computed_first_friday_exact
